iteration,iteration_time,build_time,presolve_time,memory_usage_mb,grb_NumVars,grb_NumBinVars
0,3.038302299999941,2.547035699999924,0.4912666000000172,1.380619,2564,0
1,3.1903809999998884,2.6939259999999194,0.496454999999969,1.450635,2564,0
2,3.193808900000022,2.7050186999999823,0.4887902000000395,1.450467,2564,0
3,3.1793577999999343,2.689792599999919,0.48956520000001547,1.450323,2564,0
4,3.2085259999998925,2.715947399999777,0.49257860000011533,1.450203,2564,0
5,3.210878399999956,2.722150000000056,0.4887283999998999,1.450107,2564,0
6,3.1860599999999977,2.697391800000105,0.48866819999989275,1.449963,2564,0
7,3.1982428000001164,2.7096038000001954,0.488638999999921,1.449859,2564,0
8,3.192115400000148,2.7019317000001593,0.4901836999999887,1.449763,2564,0
9,3.207807799999955,2.6802687999997943,0.5275390000001607,1.449667,2564,0
10,3.4565344000000096,2.945522399999845,0.5110120000001643,1.449579,2564,0
11,3.299403099999836,2.8025877999998556,0.4968152999999802,1.449507,2564,0
12,3.23796040000002,2.72455570000011,0.51340469999991,1.449459,2564,0
13,3.271353500000032,2.7743197000002056,0.49703379999982644,1.449435,2564,0
14,3.2805113999997957,2.7754147999999077,0.505096599999888,1.449403,2564,0
15,3.2890480999999454,2.7686851999999362,0.5203629000000092,1.449387,2564,0
16,3.31151490000002,2.7938808999999765,0.5176340000000437,1.449371,2564,0
17,3.269791499999883,2.7538863999998284,0.5159051000000545,1.449355,2564,0
18,3.2775172000001476,2.7560132000000976,0.5215040000000499,1.449339,2564,0
19,3.3038996000000225,2.787012200000163,0.5168873999998596,1.449323,2564,0
