iteration,iteration_time,build_time,presolve_time,memory_usage_mb,grb_NumVars,grb_NumBinVars
0,10.667535600000065,10.592653700000028,0.0748819000000367,49.242412,4122,1020
1,10.616611100000227,10.5429680000002,0.0736431000000266,48.114241,4122,1020
2,10.642313400000148,10.567846200000076,0.0744672000000719,48.105753,4122,1020
3,10.614652599999772,10.54005479999978,0.07459779999999228,48.105521,4122,1020
4,10.614518400000179,10.539435400000002,0.07508300000017698,48.105337,4122,1020
5,10.922427699999844,10.84870329999967,0.07372440000017377,48.105177,4122,1020
6,10.57094619999998,10.495805800000198,0.07514039999978195,48.105009,4122,1020
7,10.597656500000085,10.521882399999868,0.075774100000217,48.104761,4122,1020
8,10.614208699999836,10.539897399999973,0.07431129999986297,48.104609,4122,1020
9,10.675161200000275,10.600740400000177,0.0744208000000981,48.104457,4122,1020
10,10.607834099999764,10.533311499999854,0.07452259999990929,48.104313,4122,1020
11,10.618543699999918,10.544671899999685,0.07387180000023363,48.104169,4122,1020
12,10.638891199999762,10.564567499999612,0.07432370000014998,48.104057,4122,1020
13,10.598637600000075,10.522670200000448,0.07596739999962665,48.103961,4122,1020
14,10.623958799999855,10.548828999999841,0.07512980000001335,48.103881,4122,1020
15,10.598120200000267,10.524521200000436,0.073598999999831,48.103745,4122,1020
16,10.629235699999754,10.55453129999978,0.07470439999997325,48.103673,4122,1020
17,10.66047189999972,10.586091899999701,0.07438000000001921,48.103601,4122,1020
18,10.605614999999943,10.530812099999821,0.07480290000012246,48.103537,4122,1020
19,10.602976600000147,10.528311600000507,0.07466499999964071,48.103473,4122,1020
