iteration,iteration_time,build_time,presolve_time,memory_usage_mb,grb_NumVars,grb_NumBinVars
0,0.30331280000018523,0.1324654999998529,0.17084730000033232,0.567399,1282,0
1,0.3031356000001324,0.13277450000032331,0.17036109999980908,0.566901,1282,0
2,0.30513639999981024,0.13424269999995886,0.17089369999985138,0.566535,1282,0
3,0.3128226000003451,0.1419844000001831,0.17083820000016203,0.566531,1282,0
4,0.3049017999996977,0.13443359999973836,0.17046819999995932,0.565777,1282,0
5,0.30484019999994416,0.13529620000008435,0.1695439999998598,0.565822,1282,0
6,0.30557279999993625,0.1360233000000335,0.16954949999990276,0.565239,1282,0
7,0.30434779999995953,0.13426339999978154,0.170084400000178,0.565354,1282,0
8,0.30624859999988985,0.13508730000012292,0.17116129999976692,0.565331,1282,0
9,0.30718009999964124,0.1355242999998154,0.17165579999982583,0.565357,1282,0
10,0.30639350000001286,0.1352404999997816,0.17115300000023126,0.56513,1282,0
11,0.3059605999997075,0.13563139999996565,0.17032919999974183,0.565088,1282,0
12,0.304595000000063,0.13469620000023497,0.16989879999982804,0.564718,1282,0
13,0.3090683000000354,0.138443400000142,0.1706248999998934,0.564759,1282,0
14,0.3070520999999644,0.13769140000022162,0.1693606999997428,0.564717,1282,0
15,0.3090042999997422,0.1380844000000252,0.17091989999971702,0.564977,1282,0
16,0.30627259999982925,0.1357677999999396,0.17050479999988966,0.565031,1282,0
17,0.3093874000001051,0.13870670000005703,0.1706807000000481,0.564966,1282,0
18,0.3079971000001933,0.13746369999989838,0.17053340000029493,0.565001,1282,0
19,0.3053077999998095,0.13520199999993565,0.17010579999987385,0.564883,1282,0
