iteration,iteration_time,build_time,presolve_time,memory_usage_mb,grb_NumVars,grb_NumBinVars
0,9.483920200000057,8.904646600000092,0.579273599999965,1.921545,2370,0
1,9.582942300000013,8.992136699999946,0.590805600000067,1.964593,2370,0
2,9.507278199999973,8.931191499999954,0.5760867000000189,1.964425,2370,0
3,9.913898300000028,9.344436299999984,0.5694620000000441,1.964281,2370,0
4,9.611684299999979,9.001965799999994,0.6097184999999854,1.964161,2370,0
5,9.693633699999964,9.121470300000055,0.5721633999999085,1.964065,2370,0
6,9.606182900000022,9.015196800000012,0.5909861000000092,1.963921,2370,0
7,9.480929199999991,8.91145610000001,0.569473099999982,1.963817,2370,0
8,9.51405879999993,8.940902499999993,0.5731562999999369,1.963721,2370,0
9,9.592968399999904,8.956285599999887,0.6366828000000169,1.963625,2370,0
10,10.956814100000088,10.376440800000069,0.5803733000000193,1.963537,2370,0
11,11.078556800000001,10.474431500000037,0.6041252999999642,1.963465,2370,0
12,10.69786810000005,10.115024100000028,0.5828440000000228,1.963417,2370,0
13,9.858924500000057,9.264527200000089,0.5943972999999687,1.963393,2370,0
14,10.123605199999929,9.53127619999998,0.5923289999999497,1.963361,2370,0
15,9.714350100000047,9.138208400000053,0.5761416999999938,1.963345,2370,0
16,9.512124299999982,8.935320499999875,0.576803800000107,1.963329,2370,0
17,9.736738400000036,9.109099700000002,0.6276387000000341,1.963313,2370,0
18,9.44619339999997,8.884330399999953,0.5618630000000167,1.963297,2370,0
19,9.612914499999988,9.046180899999968,0.5667336000000205,1.963281,2370,0
