iteration,gt_label,target_label,grb_Status,grb_Runtime,grb_ObjectiveValue,grb_MIPGap,grb_NumVars,grb_NumBinVars,iteration_time,iteration_mem_consumption
0,0,tensor(1),2,0.003999948501586914,0.2747433303915471,0.0,50,0,0.017015299999911804,0.010217
1,0,tensor(1),2,0.003000020980834961,0.1442779871834996,0.0,50,0,0.01469970000016474,0.008256
2,1,tensor(0),2,0.003000020980834961,0.2704071761256214,0.0,50,0,0.014580600000044797,0.008256
3,1,tensor(0),2,0.0019998550415039062,0.0,0.0,50,0,0.013758699999925739,0.008256
4,1,tensor(0),2,0.0010001659393310547,0.0,0.0,50,0,0.013511799999832874,0.008256
5,1,tensor(0),2,0.002000093460083008,0.2953687784966027,0.0,50,0,0.014984200000071723,0.008256
6,0,tensor(1),2,0.003000020980834961,0.452562542617848,0.0,50,0,0.015381100000013248,0.008256
7,0,tensor(1),2,0.002000093460083008,0.0,0.0,50,0,0.013666400000147405,0.008256
8,0,tensor(1),2,0.003999948501586914,0.34728789617640604,0.0,50,0,0.015227799999593117,0.008256
9,0,tensor(1),2,0.003999948501586914,0.3253129695177901,0.0,50,0,0.01503469999988738,0.008256
10,0,tensor(1),2,0.003000020980834961,0.36992012358400483,0.0,50,0,0.015131799999835494,0.008256
11,0,tensor(1),2,0.0019998550415039062,0.06307580834434734,0.0,50,0,0.014517099999466154,0.008256
12,1,tensor(0),2,0.003000020980834961,0.34929586368256227,0.0,50,0,0.014309799999864481,0.008256
13,0,tensor(1),2,0.003000020980834961,0.5423759409252883,0.0,50,0,0.015519700000368175,0.008256
14,0,tensor(1),2,0.004000186920166016,0.47743713456495374,0.0,50,0,0.015238599999975122,0.008256
15,0,tensor(1),2,0.003000020980834961,0.006111204178460339,0.0,50,0,0.014454200000727724,0.008256
16,0,tensor(1),2,0.004000186920166016,0.32322627093391376,6.008966362546473e-08,50,0,0.01569720000043162,0.008256
17,0,tensor(1),2,0.0009999275207519531,0.0,0.0,50,0,0.013646299999891198,0.008256
18,0,tensor(1),2,0.003999948501586914,0.5085868954312539,0.0,50,0,0.01544370000010531,0.008256
19,0,tensor(1),2,0.0010001659393310547,0.09411764144897461,0.0,50,0,0.013771300000371411,0.008256
-,-,-,-,-,-,-,-,-,complete: 0.2955900000006295,complete: 0.16708099999999992
