iteration,gt_label,target_label,grb_Status,grb_Runtime,grb_ObjectiveValue,grb_MIPGap,grb_NumVars,grb_NumBinVars,iteration_time,iteration_mem_consumption
0,1,tensor(0),2,0.0019998550415039062,0.40716313124447345,0.0,30,0,0.009043799999744806,0.008153
1,0,tensor(1),2,0.0009999275207519531,0.38205734923082674,0.0,30,0,0.00761659999989206,0.005928
2,1,tensor(0),2,0.0009999275207519531,0.44338015103746964,0.0,30,0,0.007442900000569352,0.00592
3,0,tensor(1),2,0.0,0.14495771419468362,0.0,30,0,0.007514299999456853,0.00592
4,0,tensor(1),2,0.0009999275207519531,0.34782846097755304,0.0,30,0,0.007627699999829929,0.00592
5,0,tensor(1),2,0.0009999275207519531,0.30935639924791947,0.0,30,0,0.007497300000068208,0.00592
6,1,tensor(0),2,0.0010001659393310547,0.33679875656412017,0.0,30,0,0.007626999999956752,0.00592
7,1,tensor(0),2,0.0009999275207519531,0.26619915918620773,0.0,30,0,0.008126199999423989,0.00592
8,1,tensor(0),2,0.0010001659393310547,0.00307156964255334,0.0,30,0,0.008196899999347806,0.00592
9,0,tensor(1),2,0.0009999275207519531,0.49546939229148135,0.0,30,0,0.007437700000082259,0.00592
10,0,tensor(1),2,0.0009999275207519531,0.3159376118505275,0.0,30,0,0.007522800000515417,0.00592
11,0,tensor(1),2,0.0009999275207519531,0.392959332925314,0.0,30,0,0.007513900000049034,0.00592
12,0,tensor(1),2,0.0010001659393310547,0.4566084382447794,0.0,30,0,0.007452300000295509,0.00592
13,0,tensor(1),2,0.0009999275207519531,0.3496244293525163,0.0,30,0,0.007468400000107067,0.00592
14,0,tensor(1),2,0.002000093460083008,0.2505568485536703,0.0,30,0,0.007708899999670393,0.00592
15,1,tensor(0),2,0.002000093460083008,0.0351135799963036,0.0,30,0,0.008197500000278524,0.00592
16,0,tensor(1),2,0.0009999275207519531,0.5482316259724116,0.0,30,0,0.007627400000274065,0.00592
17,1,tensor(0),2,0.0009999275207519531,0.29393367634044376,0.0,30,0,0.007482900000468362,0.00592
18,1,tensor(0),2,0.0019998550415039062,0.03180423343705774,0.0,30,0,0.008283900000606081,0.00592
19,1,tensor(0),2,0.0,0.3807616222720809,0.0,30,0,0.007547799999883864,0.00592
-,-,-,-,-,-,-,-,-,complete: 0.15493620000052033,complete: 0.12064099999999996
