iteration,gt_label,target_label,grb_Status,grb_Runtime,grb_ObjectiveValue,grb_MIPGap,grb_NumVars,grb_NumBinVars,iteration_time,iteration_mem_consumption
0,0,1,2,0.003000020980834961,0.27474333039154686,0.0,52,4,0.009397799998623668,0.15234375
1,0,1,2,0.003000020980834961,0.14427798718349938,0.0,52,4,0.008658900000227732,0.1953125
2,1,0,2,0.0010001659393310547,0.2704071761256214,0.0,52,4,0.008284799998364178,0.05078125
3,1,0,2,0.002000093460083008,0.0,0.0,52,4,0.00810749999982363,0.3203125
4,1,0,2,0.002000093460083008,0.0,0.0,52,4,0.007605900000271504,0.0
5,1,0,2,0.0029997825622558594,0.2953687784966027,0.0,52,4,0.00795040000048175,0.06640625
6,0,1,2,0.003000020980834961,0.452562542617848,0.0,52,4,0.008655199999338947,0.1640625
7,0,1,2,0.003000020980834961,0.0,0.0,52,4,0.00819940000110364,0.0
8,0,1,2,0.002000093460083008,0.34728789617640604,0.0,52,4,0.009187499999825377,0.00390625
9,0,1,2,0.0009999275207519531,0.3253129695177901,0.0,52,4,0.008495099998981459,0.01171875
10,0,1,2,0.003000020980834961,0.36992012358400483,0.0,52,4,0.008592599999246886,0.06640625
11,0,1,2,0.003000020980834961,0.06307580834434734,0.0,52,4,0.008822600000712555,0.15234375
12,1,0,2,0.0010001659393310547,0.34929586368256227,0.0,52,4,0.008390200000576442,0.0
13,0,1,2,0.002000093460083008,0.5423759409252884,0.0,52,4,0.0087586999998166,0.0
14,0,1,2,0.0019998550415039062,0.47743713456495374,0.0,52,4,0.008943900000303984,0.01171875
15,0,1,2,0.003000020980834961,0.006111204178460228,0.0,52,4,0.009082100001251092,0.43359375
16,0,1,2,0.0019998550415039062,0.32322627093391376,0.0,52,4,0.008642999999210588,0.01953125
17,0,1,2,0.0029997825622558594,0.0,0.0,52,4,0.0081028000004153,0.0
18,0,1,2,0.002000093460083008,0.508586895431254,0.0,52,4,0.0111587999999756,0.00390625
19,0,1,2,0.003000020980834961,0.09411764144897461,0.0,52,4,0.008099700000457233,0.0
20,1,0,2,0.0019998550415039062,0.14492430908298914,0.0,52,4,0.008959700000559678,0.0
21,1,0,2,0.003000020980834961,0.4821250954345064,0.0,52,4,0.008411999999225372,0.0
22,0,1,2,0.003000020980834961,0.17150281585251503,0.0,52,4,0.008511500000167871,0.0
23,0,1,2,0.003000020980834961,0.1782084530057495,0.0,52,4,0.009302200000092853,0.0
24,0,1,2,0.003000020980834961,0.40311045754763974,0.0,52,4,0.009229699999195873,0.0
25,0,1,2,0.0029997825622558594,0.5340412608459166,0.0,52,4,0.009310499999628519,0.00390625
26,0,1,2,0.003000020980834961,0.11891236383998516,0.0,52,4,0.009990999998990446,0.0
27,0,1,2,0.0009999275207519531,0.0,0.0,52,4,0.008128799998303293,0.0
28,0,1,2,0.003000020980834961,0.15417533538852657,0.0,52,4,0.008961000001363573,0.0
29,0,1,2,0.003000020980834961,0.1738443680378281,0.0,52,4,0.009018700000524404,0.0
30,0,1,2,0.003000020980834961,0.4752237313556742,0.0,52,4,0.008840500000587781,0.0546875
31,1,0,2,0.002000093460083008,0.06147688327079337,0.0,52,4,0.008545000000594882,0.48046875
32,0,1,2,0.003000020980834961,0.3098030319406989,0.0,52,4,0.009055500000613392,0.0
33,1,0,2,0.003000020980834961,0.13837801987982268,0.0,52,4,0.008169799999450333,0.0
34,0,1,2,0.003000020980834961,0.10437357455221319,0.0,52,4,0.00863980000031006,0.0
35,0,1,2,0.0019998550415039062,0.06528467687595019,0.0,52,4,0.00916010000037204,0.00390625
36,0,1,2,0.003999948501586914,0.5768924469182792,0.0,52,4,0.009645800000726013,0.00390625
37,0,1,2,0.0019998550415039062,0.05650450988076472,0.0,52,4,0.008968699999968521,0.0
38,0,1,2,0.003000020980834961,0.3369908320695564,0.0,52,4,0.008951699999670382,0.015625
39,0,1,2,0.003000020980834961,0.3123194932345623,0.0,52,4,0.009324000000560773,0.0
40,0,1,2,0.003000020980834961,0.1881313321696575,0.0,52,4,0.008667000000059488,0.0
41,1,0,2,0.0010001659393310547,0.0,0.0,52,4,0.00898830000005546,0.0
42,0,1,2,0.003000020980834961,0.3847373904772886,0.0,52,4,0.009723000001031323,0.0
43,0,1,2,0.003000020980834961,0.4083224182520736,0.0,52,4,0.009415300000910065,0.0
44,0,1,2,0.003000020980834961,0.24171436813498748,0.0,52,4,0.009095999999772175,0.0
45,0,1,2,0.003000020980834961,0.3107542452566652,0.0,52,4,0.008552200000849552,0.0
46,0,1,2,0.003999948501586914,0.03543048098922641,0.0,52,4,0.009084499999516993,0.0
47,0,1,2,0.002000093460083008,0.1522308617114071,0.0,52,4,0.0088672999991104,0.0
48,1,0,2,0.0010001659393310547,0.0,0.0,52,4,0.0075641999992512865,0.0
49,0,1,2,0.003000020980834961,0.09933468808801071,0.0,52,4,0.010079899999254849,0.0
50,0,1,2,0.003999948501586914,0.3216209600577432,0.0,52,4,0.009467199999562581,0.0
51,1,0,2,0.003000020980834961,0.22020590982791988,0.0,52,4,0.008984199999758857,0.0
52,0,1,2,0.0019998550415039062,0.21146759134755877,0.0,52,4,0.01757739999993646,0.00390625
53,1,0,2,0.0019998550415039062,0.007030216013137469,0.0,52,4,0.008455600000161212,0.0
54,1,0,2,0.0019998550415039062,0.011460145173607494,0.0,52,4,0.008796400001301663,0.0
55,0,1,2,0.003999948501586914,0.0699973546059034,0.0,52,4,0.010271999999531545,0.00390625
