iteration,iteration_time,build_time,presolve_time,memory_usage_mb,grb_NumVars,grb_NumBinVars
0,1.0430257000000438,1.0244609999999739,0.018564700000069934,11.256796,3586,398
1,0.9951629000001958,0.9770922000002429,0.01807069999995292,10.026529,3586,398
2,0.9689846999999645,0.9506483999998636,0.01833630000010089,10.010639,3586,398
3,0.9791572000001452,0.9604554000000007,0.01870180000014443,10.008884,3586,398
4,0.9720833999999741,0.9539819999999963,0.01810139999997773,10.011849,3586,398
5,0.9771098999999595,0.9586400000000594,0.018469899999900008,10.009678,3586,398
6,0.9738243000001603,0.9552937000000838,0.018530600000076447,10.006962,3586,398
7,0.9825826999999663,0.9639555999999629,0.018627100000003338,10.011999,3586,398
8,0.9855205000001206,0.9667484000001423,0.01877209999997831,10.00955,3586,398
9,0.9831457999998747,0.9647705999998379,0.018375200000036784,10.007987,3586,398
10,0.98327519999998,0.9643268999998327,0.018948300000147356,10.011285,3586,398
11,0.9888257999998586,0.9706021999998029,0.01822360000005574,10.010553,3586,398
12,0.9708734000000732,0.9525677999999971,0.018305600000076083,10.009711,3586,398
13,0.9712446999999429,0.9530763999998726,0.018168300000070303,10.001887,3586,398
14,0.9833588999999847,0.9651899000000412,0.01816899999994348,10.013286,3586,398
15,0.9771530999998959,0.9597776000000522,0.01737549999984367,10.015315,3586,398
16,0.9797362000001613,0.9614977000003364,0.018238499999824853,10.005893,3586,398
17,0.9743925000000218,0.9564646000001176,0.017927899999904184,10.005683,3586,398
18,0.9806577000001653,0.9629976000001079,0.017660100000057355,10.009094,3586,398
19,0.9675911000001634,0.9499818000001596,0.017609300000003714,10.004763,3586,398
