variant_name,path_name,time_mean,time_std,mem_mean,mem_std
onnxgurobi,ctf_fc_mnist,10.686156819999953,5.146971381240458,1.2999028999999998,0.0852290396630409
omlt,ctf_fc_mnist,8.05652819000004,1.7056216805553133,21.7702095,0.1270713396857309
gurobiml,ctf_fc_mnist,5.918765529999973,4.657469132279091,0.8183197999999999,0.0006416882830717
-,-,-,-,-,-
-,-,-,-,-,-
onnxgurobi,ctf_conv_mnist,13.901200620000008,9.29147224241307,1.7116886,0.084958455039972
omlt,ctf_conv_mnist,14.077014983333203,23.281435772421904,13.918529333333332,0.3563970718450097
-,-,-,-,-,-
-,-,-,-,-,-
onnxgurobi,ctf_medium_concrete,0.0255833649997839,0.0013445533651446,0.04510565,0.0107438647524259
omlt,ctf_medium_concrete,0.0404634050000822,0.0135720514609501,0.2910519,0.2661975664906958
gurobiml,ctf_medium_concrete,0.0223032950001651,0.0005778615383909,0.05210455,0.0008414829938551
-,-,-,-,-,-
-,-,-,-,-,-
onnxgurobi,ctf_medium_wine,0.0334660400000756,0.0014429835530343,0.0533803,0.0109784219990613
omlt,ctf_medium_wine,0.0474188649999632,0.0140354377099572,0.34509225,0.2670042403753316
gurobiml,ctf_medium_wine,0.0240551199995933,0.0008797058448617,0.0559078999999999,0.0006727616219731
