iteration,iteration_time,build_time,presolve_time,memory_usage_mb,grb_NumVars,grb_NumBinVars
0,3.1182364999999663,3.095965699999965,0.022270800000001145,1.055075,2506,0
1,3.369869300000005,3.3470349000000397,0.02283439999996517,1.114315,2506,0
2,3.3487362999999277,3.3255735999998706,0.023162700000057157,1.114147,2506,0
3,3.3616928000000144,3.338886400000092,0.022806399999922178,1.114003,2506,0
4,3.4160841000000346,3.3934181000000763,0.02266599999995833,1.113883,2506,0
5,3.4507777000000033,3.428365500000041,0.022412199999962468,1.113787,2506,0
6,3.538793100000021,3.514649200000008,0.024143900000012763,1.113643,2506,0
7,3.609581700000035,3.5839829000000236,0.02559880000001158,1.113539,2506,0
8,3.405444999999986,3.3763055000000577,0.029139499999928375,1.113443,2506,0
9,3.4653078999999707,3.4402266999999256,0.0250812000000451,1.113347,2506,0
10,3.4676860000000715,3.444763800000146,0.022922199999925397,1.113259,2506,0
11,3.4984819999999672,3.4756962999999814,0.02278569999998581,1.113187,2506,0
12,3.475569999999948,3.4528844999998682,0.022685500000079628,1.113139,2506,0
13,3.49424769999996,3.4709768999999824,0.0232707999999775,1.113115,2506,0
14,3.4855674000000363,3.46281840000006,0.02274899999997615,1.113083,2506,0
15,3.3715356999999813,3.3488002999999935,0.02273539999998775,1.113067,2506,0
16,3.431563899999901,3.4085814999998547,0.022982400000046255,1.113051,2506,0
17,3.4512533999999278,3.4284042999998974,0.022849100000030376,1.113035,2506,0
18,3.4055415999999923,3.382760800000028,0.022780799999964074,1.113019,2506,0
19,3.3781347000000324,3.351975100000004,0.02615960000002815,1.113003,2506,0
