iteration,iteration_time,build_time,presolve_time,memory_usage_mb,grb_NumVars,grb_NumBinVars
0,0.38555300000007264,0.3272185000000718,0.058334500000000844,1.162452,2569,0
1,0.3842807000000903,0.32624610000038956,0.05803459999970073,1.161072,2569,0
2,0.38863599999967846,0.3307297999995171,0.057906200000161334,1.1602,2569,0
3,0.3738007000001744,0.31393870000010793,0.05986200000006647,1.158339,2569,0
4,0.4107036000000335,0.3512783999999556,0.059425200000077893,1.15919,2569,0
5,0.39130169999998543,0.33390879999979006,0.05739290000019537,1.158861,2569,0
6,0.3731583000003411,0.3145310000004429,0.05862729999989824,1.158615,2569,0
7,0.3886582999998609,0.33070799999950395,0.05795030000035695,1.158241,2569,0
8,0.3917334999996456,0.333840799999507,0.057892700000138575,1.158536,2569,0
9,0.3735796000000846,0.3158816999998635,0.057697900000221125,1.158344,2569,0
10,0.39192739999998594,0.33371020000004137,0.05821719999994457,1.157789,2569,0
11,0.35956149999992704,0.30205789999990884,0.057503600000018196,1.157033,2569,0
12,0.39326189999974304,0.33468859999993583,0.058573299999807205,1.15765,2569,0
13,0.38351020000027347,0.3265462000003936,0.05696399999987989,1.157231,2569,0
14,0.3722898000000896,0.31512180000027,0.057167999999819585,1.157239,2569,0
15,0.3692527999996855,0.3121464999994714,0.057106300000214105,1.157867,2569,0
16,0.37050589999989825,0.3131699000000481,0.057335999999850173,1.157522,2569,0
17,0.38578389999975116,0.3278336999997009,0.057950200000050245,1.157487,2569,0
18,0.3833912000000055,0.32660500000019965,0.05678619999980583,1.157425,2569,0
19,0.3847169999999096,0.326716199999737,0.0580008000001726,1.157514,2569,0
